CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Mas_1_coche,Revisiones,Edad_Cliente,Tiempo
50403,8,6,1,2,1,2,0,1,1,30,0,0,1,2,0,3,0,2574,0,0,1,68,0
50404,8,6,1,2,1,2,0,1,1,8,1,0,1,4,0,3,0,2574,0,0,0,60,0
50416,8,6,1,2,1,0,3,1,1,23,1,0,0,0,0,3,0,3571,0,1,2,55,5
50419,8,6,1,2,1,0,0,1,1,32,1,0,0,0,0,3,0,1829,0,0,1,60,0
50425,8,6,1,2,1,0,0,0,1,13,0,0,0,1,0,3,0,1829,0,0,1,56,0
50437,8,6,1,2,1,0,0,1,1,9,1,0,0,2,0,3,0,1829,0,0,1,47,0
50458,8,6,1,2,1,2,0,0,1,50,0,0,1,0,0,3,0,2574,0,0,1,32,0
50463,8,6,1,2,1,3,0,1,1,22,0,0,0,1,0,0,0,1829,0,0,2,56,0
50475,8,6,1,2,1,2,0,1,1,31,0,0,1,4,0,3,0,2574,0,0,1,40,0
50481,8,6,1,2,1,2,3,1,1,37,0,0,1,2,0,3,0,2574,0,0,1,27,0
50489,8,6,1,2,1,2,0,1,1,0,1,0,0,1,0,3,0,2727,0,0,1,28,0
50526,8,6,1,2,1,2,0,1,1,8,1,0,1,4,0,3,0,2574,0,0,1,26,0
50529,8,6,1,2,1,2,0,1,1,22,0,0,1,4,0,3,0,2574,0,0,0,71,0
50549,8,6,1,2,1,0,0,0,1,12,0,0,0,4,0,3,0,1829,0,0,1,53,0
50589,8,6,1,2,1,2,3,1,1,48,0,0,1,4,0,3,0,2574,0,0,0,47,0
50595,8,6,1,2,1,0,0,1,1,8,0,0,0,4,0,3,0,1829,0,0,1,35,0
50602,8,6,1,2,1,2,0,1,1,0,0,0,1,4,0,3,0,2574,0,0,0,33,0
52427,4,1,0,2,1,0,0,1,1,32,0,0,0,0,0,3,0,3991,3816,1,7,60,6
52441,4,1,0,2,1,2,3,0,1,35,1,0,0,2,1,3,0,2713,4122,1,7,38,5
52452,4,1,0,2,1,2,0,0,1,49,0,0,0,0,0,2,1,981,13243,1,9,48,5
52469,4,1,0,2,1,0,0,1,1,10,0,0,0,2,0,3,0,981,14233,0,8,50,0
52471,4,1,0,2,1,0,0,1,1,8,0,0,0,4,0,3,0,3715,0,0,6,67,0
52473,4,1,0,2,1,3,3,1,1,43,0,0,0,1,1,2,1,1202,24910,0,9,38,0
52494,4,1,0,2,1,0,4,2,1,8,0,0,0,1,0,2,1,1317,17300,1,6,69,6
52502,4,1,0,2,1,0,0,0,1,4,0,0,0,4,0,3,0,2881,9588,0,4,37,0
52503,4,1,0,2,1,0,0,0,1,32,0,0,0,0,1,3,0,5150,7691,1,5,41,8
52513,4,1,0,2,1,0,0,0,1,8,1,0,0,0,1,2,1,3571,4781,1,3,42,6
52544,4,1,0,2,1,0,0,0,1,32,0,1,0,0,0,3,0,2881,9969,1,3,57,6
52547,4,1,0,2,1,0,0,1,1,33,1,1,0,0,0,3,0,1829,7148,1,4,49,5
52553,4,1,0,2,1,0,1,1,1,8,1,1,0,0,0,3,0,2881,18169,1,6,38,8
52558,4,1,0,2,1,0,0,1,1,32,0,1,0,0,0,3,1,0,7246,1,4,45,3
52559,4,1,0,2,1,0,0,1,1,32,0,1,0,0,0,3,1,0,7246,1,6,48,3
52566,4,1,0,2,1,0,0,1,1,35,0,0,0,1,1,3,0,2881,6604,1,3,51,6
52567,4,1,0,2,1,0,3,0,1,32,0,0,0,0,1,3,0,2881,7485,1,5,57,6
52573,4,1,0,2,1,0,0,1,1,12,0,0,0,2,1,3,0,2881,5539,0,4,46,0
52592,4,1,0,2,1,0,3,1,1,8,1,0,0,2,1,2,1,276,12139,0,6,46,0
52639,4,1,0,2,1,0,4,2,1,32,0,0,0,0,0,3,0,1913,11957,1,6,42,6
52676,4,1,0,2,1,3,0,1,1,32,0,0,0,0,0,2,1,3007,0,1,9,40,5
52689,4,1,0,2,1,0,3,0,1,17,0,0,0,2,1,3,0,276,29517,0,8,58,0
52717,4,1,0,2,1,0,3,0,1,41,1,0,0,1,1,3,0,0,2649,0,9,37,0
52747,4,1,0,0,1,3,2,0,1,28,0,0,0,4,0,3,1,0,0,0,9,67,0
52760,4,1,0,0,1,0,0,1,1,50,0,0,0,0,0,3,0,1257,1926,1,5,38,3
52781,4,1,0,2,1,0,0,0,1,32,0,1,0,4,0,3,0,2881,13633,0,2,40,0
52811,4,1,0,2,1,0,0,0,1,10,1,0,0,0,1,3,0,2881,6974,1,3,53,6
52819,4,1,0,2,1,0,0,1,1,4,0,1,0,1,0,2,1,2881,11394,1,6,37,7
52825,4,1,0,2,1,3,0,1,1,32,0,0,0,0,1,3,0,2881,5104,1,3,42,5
52838,4,1,0,2,1,0,0,1,1,35,0,0,0,2,1,3,0,4717,6905,0,3,48,0
52849,4,1,0,2,1,0,3,1,1,50,0,0,0,1,1,3,0,3025,13709,0,3,37,0
52859,4,1,0,2,1,0,0,0,1,32,0,0,0,1,1,3,0,2815,2947,1,2,52,5
52883,4,1,0,2,1,0,3,1,1,32,0,1,0,1,0,3,0,5365,17307,1,4,45,10
52969,4,1,0,2,1,0,0,1,1,33,0,0,0,0,0,0,0,5711,0,1,2,42,7
53019,4,1,0,0,1,0,0,1,1,52,0,0,0,0,0,3,0,1465,0,1,1,58,3
53020,4,1,0,0,1,0,0,1,1,33,0,0,0,2,0,3,0,1465,0,0,1,55,0
53066,4,1,0,0,1,0,0,1,1,8,0,0,1,4,0,3,0,2197,0,1,1,30,4
53072,4,1,0,0,1,0,0,1,1,28,0,0,0,4,0,3,0,1649,0,0,0,44,0
53093,4,1,0,0,1,0,0,1,1,33,0,0,1,4,0,3,0,2197,0,1,1,62,4
53094,4,1,0,0,1,2,1,1,1,8,1,0,1,4,0,3,0,1465,0,0,0,66,0
53141,4,1,0,2,1,0,0,1,1,32,0,0,0,1,0,3,0,1465,0,1,2,71,3
53215,5,2,0,0,1,2,0,0,1,11,0,0,0,2,0,3,0,1408,0,0,9,64,0
53376,6,4,1,2,1,3,4,2,1,43,1,0,0,1,1,2,1,2523,15851,0,4,38,0
